user,timestamp,activity,x-axis,y-axis,z-axis
Enter ID Here,1.75425E+12,Brushing teeth,-12.659293,2.2266653,-0.7653788
Enter ID Here,1.75425E+12,Brushing teeth,-8.671897,-0.5437902,5.209127
Enter ID Here,1.75425E+12,Brushing teeth,-9.06357,-4.6222167,4.3850574
Enter ID Here,1.75425E+12,Brushing teeth,-1.2576646,0.033537723,6.342223
Enter ID Here,1.75425E+12,Brushing teeth,-9.412123,-5.275005,4.171853
Enter ID Here,1.75425E+12,Brushing teeth,-6.7039514,5.7996306,6.6033382
Enter ID Here,1.75425E+12,Brushing teeth,-7.8993316,4.26528,4.1838307
Enter ID Here,1.75425E+12,Brushing teeth,-8.252675,-5.0534163,4.574306
Enter ID Here,1.75425E+12,Brushing teeth,-7.288466,5.3348937,4.095196
Enter ID Here,1.75425E+12,Brushing teeth,-6.90398,5.8786836,4.710852
Enter ID Here,1.75425E+12,Brushing teeth,-6.0631413,11.8987055,4.3850574
Enter ID Here,1.75425E+12,Brushing teeth,-8.75095,0.8731786,3.5549986
Enter ID Here,1.75425E+12,Brushing teeth,-9.407331,-8.585657,4.456924
Enter ID Here,1.75425E+12,Brushing teeth,-6.941111,3.3477833,8.161645
Enter ID Here,1.75425E+12,Brushing teeth,-10.272125,-8.04546,5.3624425
Enter ID Here,1.75425E+12,Brushing teeth,-9.597777,-4.988736,5.41754
Enter ID Here,1.75425E+12,Brushing teeth,-8.649139,1.5583063,2.1116788
